Symbol	Lung-60-2710-01	Lung-18-4086-01	Lung-22-4613-01	Lung-37-4132-01	Lung-22-4591-01	Lung-18-3410-01	Lung-64-1680-01	Lung-21-1070-01	Lung-66-2780-01	Lung-66-2787-01	Lung-66-2766-01
C8orf44	-1.0145	-0.3495	0.48275	0.5675	-1.24725	-0.15175	-0.3275	-0.2695	-1.1845	-0.8845	-0.99475
DAGLB	-0.3215	-1.150166667	-0.550333333	-0.9765	-1.649166667	-0.453666667	-0.2475	-0.0015	-0.543666667	-1.293666667	-1.379333333
PFDN5	0.1249	0.6987	0.8371	1.5605	0.305	1.5591	1.3438	-0.3501	1.3495	0.7211	2.2759
PFDN4	-1.291333333	-0.974833333	-0.702	-0.671166667	-1.350833333	-1.489833333	-1.626333333	-1.234666667	-0.446166667	-0.651833333	-1.492166667
MAGEA12	-3.037	-3.36825	1.53725	-2.3335	-2.50725	-2.64675	-4.78325	-4.096	-3.87875	-2.83525	-3.2655
CDK4	0.466	0.2367	0.6718	0.5689	-0.4262	0.4241	-0.2899	0.2315	0.1388	0.5284	0.419
HLA-G	1.2478	1.2047	1.206578947	1.7659	1.0982	1.71455	1.41445	2.19315	1.3957	1.18535	0.4945
ZXDB	0.0195	-0.2235	-0.407	-0.245	0.988	-0.0845	0.703	0.6835	0.1455	0.508	-0.0055
TM9SF2	-0.3046	0.2097	0.2995	0.0094	0.1642	-0.1541	1.1059	0.808	0.032	-0.0305	0.2394
MAGEA11	-0.7975	-0.714	1.965	-0.676	1.665	3.2675	-1.802	-1.6655	-1.843	0.4555	3.4575
HLA-F	2.060875	2.1405	2.820875	2.819125	1.30375	2.682125	2.28325	2.963125	2.433125	1.7205	1.514625
DTNB	1.560666667	0.3945	-0.2968	-0.243333333	0.602166667	-0.430333333	0.003333333	1.163333333	-0.102666667	0.9505	0.220666667
DTNA	-0.658769231	-0.921571429	-0.353916667	0.0745	-0.264714286	-0.657	-1.608785714	-1.488571429	-0.305714286	0.978214286	0.307642857
ACHE	0.367166667	0.080666667	0.461333333	0.488833333	-0.0075	1.034666667	0.543833333	0.153666667	0.597	-0.250833333	0.250833333
PRB2	0.024	0.4275	-0.188	0.347	0.355	0.0625	3.68	-0.0085	0.5235	-0.4745	0.5265
PRB3	0.276375	0.61125	0.743875	0.863375	0.460375	1.25425	2.725	0.63475	1.0185	0.071125	0.733125
PRB4	0.2585	0.0105	1.15675	0.37225	0.2535	0.909	4.056	0.153	0.52025	0.09175	0.04525
AIRE	0.123333333	0.802666667	-0.286	0.930333333	-0.036666667	0.7715	0.649	0.355666667	0.305666667	0.349166667	0.369833333
C10orf38	-2.0445	-0.0685	-0.19675	-1.211	-0.17675	1.00325	-2.73275	-1.03825	-1.1995	-0.57875	-0.805
WSCD1	-1.615	-1.2965	0.711666667	-0.1735	-0.4995	-1.1355	-0.79775	-1.4645	-0.83425	-1.48825	-1.0415
WSCD2	2.277	0.6065	1.06075	0.3235	-0.66025	2.0115	-0.312	-0.987	-0.10925	1.7755	-0.474
HIRA	-2.22275	-0.84225	-2.34	-2.14925	-1.42325	-2.91725	-3.0795	-0.58475	-2.773	-2.21125	-1.15975
RIN1	-1.485166667	-0.853666667	-1.528	-2.356	-1.598166667	-2.521666667	-1.0365	0.665666667	0.347833333	-2.125666667	-1.449
TBC1D9B	-0.8035	-1.535375	-1.228375	-1.69075	-1.26625	-1.656625	-0.731	-0.746125	-1.572625	-0.855875	-0.988375
RIN3	-0.0015	-0.7225	-0.756333333	-1.318	-1.49725	-0.15425	-0.51375	0.94	-0.4	-0.63675	-1.03725
RIN2	1.77525	1.819875	1.47875	0.97825	1.1925	1.94275	2.05325	2.54375	3.352875	2.071	0.711875
GDA	0.492375	-0.595375	-1.738875	-3.7005	-0.95275	-3.958875	-4.1135	-1.513	-3.91125	-0.3315	-2.254125
WWOX	-0.461071429	0.249928571	1.033307692	0.147714286	0.337428571	0.854071429	-0.471142857	-0.745214286	-0.413642857	-0.001714286	0.048642857
MGC5590	0.571	0.6015	-0.2785	0.0475	0.6435	0.135	0.857	0.369	0.451	0.2325	0.204
C2orf19	-0.1635	0.52	-0.361	-0.2995	0.382	0.0025	0.8945	-0.2125	0.3085	0.2755	0.529
HSPC171	-0.61575	0.623	1.10625	1.11075	-0.25975	-0.1845	0.48025	-0.39875	0.6975	-0.20975	0.553
ST6GALNAC4	-0.0655	-0.2455	0.665	-0.262	-0.643	-0.163	1.1055	-0.4845	0.192	-0.216	-0.7575
RNH1	0.19725	-0.278	-0.431375	-1.317875	0.099125	-1.28075	-0.7305	-0.124875	-1.212875	-0.705625	-0.74175
RPS13	-0.8639	-0.2184	0.3373	-0.3772	-0.4685	-0.0026	-0.1351	-0.7052	-0.7284	-0.6884	0.1113
CLPX	-0.458	-0.77025	-0.51025	-0.8695	-0.96225	-0.0885	-1.0185	-0.78925	-0.987	-0.45475	-1.034
RPS11	-0.034875	0.79875	0.637	1.088125	0.7705	0.6325	1.363125	0.04475	1.18875	0.738875	0.34825
RPS10	0.0959	0.9338	1.5107	1.8036	0.4429	0.8015	1.2024	0.1074	0.9416	0.6945	1.7612
RPS17	-0.60075	-0.729	-0.597	-1.02175	-1.04225	-0.20725	-0.24	0.1635	-0.15775	0.02675	-0.81075
RPS16	-0.4445	0.8142	0.5652	1.0747	2.6252	0.9268	0.7104	0.9775	0.9624	0.1482	2.5177
RPS15	-0.1285	0.39475	1.318583333	-0.011666667	-0.45175	1.023583333	0.450583333	0.253416667	0.04875	0.355583333	0.054
RPS14	-0.154833333	0.586	1.6065	0.4645	0.308666667	0.810333333	2.269333333	0.118166667	0.594	0.3285	1.5925
CLPP	-0.143	0.00725	-0.21925	-0.43075	-0.33475	0.213	-0.13625	-0.33225	-0.777	0.359	0.0525
CLPS	0.409666667	0.676	0.005	0.37025	0.42275	0.3985	0.6705	0.09175	0.14	0.46425	0.319
PGS1	-0.1925	-0.42	-0.5696	-1.102833333	-1.162166667	-0.7895	-0.068333333	-0.823166667	-1.816166667	-0.219333333	-0.916
IL17F	1.021	1.0475	0.1085	0.7805	0.239	0.555	0.8655	0.503	0.708	0.729	0.6065
RHOXF1	0.513	0.216333333	-0.731	-0.158	-0.328166667	3.9885	0.728833333	0.612	-0.301833333	0.558166667	0.419333333
RIPK1	0.6685	-0.488833333	0.328166667	-0.037833333	-0.327	0.552333333	0.928833333	0.792833333	0.836333333	0.646166667	-0.1975
LATS2	0.601	0.3825	-0.818	-0.01575	-0.09975	-0.2995	0.00925	0.2905	0.555	0.55575	-0.7405
RIPK3	3.59475	2.15875	1.96925	1.3355	2.40125	3.7545	4.08	4.41275	3.4655	3.38425	2.028
RIPK2	-0.28825	-0.69675	-0.278	0.685	-0.55125	0.86	0.420375	0.634625	-0.15675	-0.249625	-0.484375
RIPK5	-0.549571429	-0.462214286	-0.991923077	-0.078785714	-0.416	-0.453214286	-0.889714286	0.104714286	-0.322357143	-0.036071429	-0.753142857
ODZ2	3.085	3.59025	-0.228625	-1.894875	-1.090875	4.463625	-3.165875	3.28825	1.68625	-1.9645	1.860625
ODZ1	-0.537	0.408	-3.816	0.8135	-0.344	-1.372	-0.227	-1.0125	-0.444	-0.947	0.0335
SPRR1A	4.645	5.008333333	3.158166667	0.613	0.499	1.668166667	1.829833333	5.395833333	1.513833333	2.9765	3.6215
CLPB	-1.07975	-0.86625	-0.612	-0.5285	-0.243	-0.6205	-1.983	-0.221	-0.62975	-0.9585	-0.895
PUSL1	-0.1365	-0.2675	-0.18	0.291	0.689	-0.3225	0.034	0.566	0.7235	-0.663	0.0325
ARID4B	0.540625	-0.14875	-1.127125	0.20575	0.236625	0.56275	0.86975	0.550125	0.2415	0.504625	-0.23025
LAMA5	-0.769166667	-0.744333333	-1.482166667	-1.44	-0.383333333	-2.226666667	-2.227666667	0.692666667	-1.245	-0.752166667	-1.461333333
OTUD7B	0.434125	-0.354875	-0.4075	-0.76275	0.233875	0.1925	-0.564875	0.810375	0.13875	1.851875	-0.566125
CRABP1	-3.5165	-1.623	-0.931	-2.0285	-0.6245	0.8615	-3.1485	-3.564	-2.25	-3.077	0.29
FEZF2	-0.2765	0.3085	0.4466	-0.069333333	-0.4115	4.923833333	-0.127833333	-0.502166667	0.3895	-0.6215	0.213
SLC9A3R2	-0.870333333	0.2605	-0.094166667	0.2625	-0.421666667	-0.077166667	1.808833333	-0.446666667	0.673	0.241333333	0.5465
SLC9A3R1	0.95275	1.240875	0.828625	-2.12225	1.430375	-0.527	-1.08525	0.431	-1.1035	2.29875	0.703875
PLCXD3	1.125833333	-0.532833333	0.084666667	0.083833333	1.3775	-0.235166667	-0.229166667	0.014166667	-0.9575	-1.270833333	-1.161333333
PLCXD2	0.889	0.55275	-0.221	0.01025	0.21225	0.282	0.2925	0.05225	0.159	1.569	0.3665
BMP5	-1.0085	-1.587	-1.2805	-1.89225	-1.22425	-2.8315	0.5295	-2.25625	-1.15225	-2.90275	-1.47725
KRT32	1.09	1.3785	1.4725	0.5165	3.4295	4.2605	1.324	0.2705	0.476	0.6635	0.986
ZNF418	-0.236	0.049	0.501	0.471	0.0565	-0.027	0.7715	-0.7815	0.9085	-0.567	0
ZNF417	-0.23	-0.4975	-1.026833333	-0.457	-0.374666667	0.068666667	-0.091666667	0.340666667	0.444	0.061166667	-0.103833333
ZNF416	0.63925	-0.66925	-0.066	0.04775	-0.421	1.17275	0.9225	0.1915	1.48975	0.957	-0.0165
TSSC4	0.141833333	0.270166667	0.292333333	-0.214166667	-0.088166667	-0.688333333	-0.5265	-0.2885	-1.212833333	0.060333333	0.0865
ZNF414	-0.298	-0.153	-1.1275	-0.774	-0.7155	-0.2285	-0.584	-0.6115	-1.0885	-0.484	-0.5835
hCG_2028557	0.0805	0.021375	-0.643875	-0.071875	0.262625	-0.15275	-0.265375	0.063625	0.004125	-0.5395	0.00925
HILS1	-1.96525	-1.34125	-0.79325	1.053	-1.3925	-2.46875	-2.02375	-2.3655	-1.5915	-2.3635	-1.74275
TSSC1	0.274	-0.103	0.66575	0.1005	0.529	0.0235	0.083	-0.23275	-0.75375	0.05125	0.0655
RRAGD	1.031666667	0.468166667	1.756666667	0.327	2.405166667	0.422333333	0.357833333	1.365833333	0.475166667	1.961666667	1.566833333
RRAGA	0.2615	0.33525	0.08125	1.245	-0.51875	0.153	-0.162	0.49075	0.199	0.46975	0.1005
CMAH	1.190583333	0.463	0.1022	0.78225	2.561416667	0.636833333	2.493272727	1.274666667	1.02875	1.443916667	0.368916667
RRAGC	1.16425	0.88625	0.67175	0.315	0.7705	0.96225	-0.183	0.9675	1.227	0.4055	0.3935
RRAGB	1.317333333	0.4555	-0.476	0.1275	-0.434166667	0.127	0.909666667	0.087166667	1.130166667	1.9285	2.0765
NAT6	-1.137	-1.03025	-1.39125	-0.88925	-1.59975	-1.1715	-0.103	-0.84775	-0.99025	-1.03625	-0.45775
SSSCA1	-0.6785	-0.1285	-0.0645	0.18	0.7055	0.1915	-0.4395	0.25875	0.21625	0.1775	0.186
POU4F1	-2.3005	-1.287	-1.273	4.219	0.37	1.3515	-0.9085	1.0485	-1.659	-0.169	0.7335
POU4F2	0.84925	0.079	1.25	0.1645	0.769666667	0.510333333	0.56725	0.0935	0.39175	0.37925	0.238
GGT1	-0.09425	-1.477	-1.6975	-1.33975	-1.349	0.5225	-0.51125	0.10825	-1.209	-1.526	-1.48825
MCOLN1	0.484	-0.35525	-0.8025	-0.574	-0.66025	-1.058	-0.379	0.1195	-0.731	-0.15475	-0.40975
MCOLN3	2.18125	0.532625	0.417714286	-0.709142857	2.23825	-0.28375	-1.13	0.657875	-1.248625	2.13175	1.83325
FBF1	-0.4105	-0.2045	-0.5935	0.289	0.6235	0.4705	-0.226	-0.3005	0.4895	0.0525	-0.096
RASA4	-0.47675	-0.397	0.47625	0.155	-0.42025	-0.0905	0.644	0.54725	-0.34825	-0.57575	-0.52125
GPATCH2	0.71175	0.06475	0.6865	-0.14375	-0.33875	0.9735	0.43175	0.23175	0.1415	0.016	0.03
RASA1	-0.6175	-1.125	-1.067	-1.3595	-0.45	-1.225	0.051	-1.3675	-0.491	-0.5755	-0.8525
RASA2	0.948875	0.386375	-0.81175	0.09225	0.660875	0.737875	-0.45525	0.689125	1.033625	1.792125	0.2135
PLAC4	-1.3565	-1.20275	-1.073333333	-0.94975	-1.699	-0.877	-1.97775	-0.74225	-1.4115	-1.99075	-0.2275
ACTN3	-0.303	-0.3635	-0.9685	-0.897	-1.2105	-1.1415	-1.945	0.616	0.6125	-1.0555	-0.4805
ACTN2	-1.04775	-1.13025	-0.366333333	-1.157	-0.86225	1.5435	-0.56675	-0.91375	-1.20075	-2.32775	-0.81425
ACTN1	-0.0769	0.1916	-0.4818	-0.1061	-0.4778	-1.0024	-1.9226	0.741	0.413	-0.8614	-0.2516
PTPRT	-0.095545455	0.614333333	0.3724	-0.0285	4.1445	-0.325833333	1.398666667	-0.272416667	-0.144416667	-0.479833333	-0.411
NGFRAP1	0.471	0.2779	0.9203	0.8289	1.5589	-1.0947	-1.1307	0.4629	0.2298	0.5467	-0.1331
SLC40A1	1.95925	3.333	1.55	1.9325	2.334916667	-0.278416667	3.888	2.172	1.509583333	2.11925	1.6695
GTPBP2	-0.7087	-1.1436	-0.9082	-0.5711	-0.8114	-0.7921	-0.4055	0.3581	-0.991	-0.8486	-0.435
ACTN4	0.471	-0.022166667	-0.583	-0.994666667	-0.324	0.398333333	-1.001	1.097	1.272833333	0.38	0.446166667
CLP1	-0.0895	-0.2878	-0.0875	-0.8219	0.1931	0.5783	0.0698	0.1248	0.55	0.7693	-0.16
LILRP2	1.5605	0.5355	1.4565	1.1135	0.401	0.852	0.84	0.8955	0.8745	0.7835	0.4535
PTPRG	0.21475	-1.098625	-0.80975	-1.154875	-0.17075	-1.402875	-0.849875	-1.19225	-0.9495	-0.4305	-1.408625
SFRS16	-1.2955	-1.184125	-1.38325	-1.51675	-1.252875	-0.683125	-2.33825	-0.21275	-1.736125	-2.305375	-1.53925
GEFT	0.09225	-0.701375	-0.376625	-1.179714286	0.0655	-1.615375	-2.320375	-1.1095	0.1045	-1.180625	0.41375
PTPRD	1.19475	0.978	0.29775	-0.44225	-0.303	-1.34725	-1.28425	-0.6025	-0.381	2.00325	0.204
PTPRC	1.671833333	1.4395	1.977818182	2.070181818	0.339333333	1.989333333	0.536416667	2.616666667	0.89975	2.455583333	0.42825
PTPRB	1.19775	0.04325	0.29175	0.74025	0.96525	1.687	1.60275	1.1445	1.651	1.15	0.387
SFRS11	-0.647833333	-0.373	-0.743	-0.165333333	-0.243166667	-0.0005	-0.578333333	-0.238	-0.742166667	-0.5545	-0.893333333
UBE3C	0.2728	0.1018	0.294	0.0433	0.5965	0.4825	-0.1828	0.6017	0.6448	0.7302	1.0456
PTPRO	1.679	1.597833333	0.458333333	3.401333333	1.3405	0.934833333	0.832666667	1.564833333	1.621333333	4.001666667	0.949166667
PTPRN	-1.16	0.01725	-0.90025	0.27025	-0.4155	-0.929	-0.44175	-0.765	-0.01075	-0.9925	-0.4935
PTPRM	-0.92075	-1.3625	-1.55275	-1.306875	-1.121	-0.520625	-0.116125	-0.857	-1.0395	-0.56475	-2.01425
DTWD2	1.46975	-0.417	-0.09175	-0.62825	-0.11875	0.52225	1.65975	-0.148	-0.27725	0.5615	1.70175
PTPRJ	0.104642857	0.014357143	-1.250285714	-0.94	0.475285714	0.553071429	0.353142857	0.392714286	-0.193785714	0.181214286	0.017285714
PTPRH	-4.0095	-2.14975	-2.26325	-2.409	-2.72175	-4.14725	-1.10575	0.58525	-0.91475	-2.70975	-2.80725
LASS2	-0.871333333	-0.5745	-0.693333333	-0.723666667	-0.904833333	-1.195666667	-0.1095	-0.025	-0.205	-0.266	-0.9585
LASS3	6.54325	2.84025	1.686	0.35675	0.41	1.0105	0.46575	5.05975	4.589	1.78525	3.9865
RPL18	-0.665333333	-0.044666667	-0.008833333	-0.132666667	0.083666667	-0.512166667	0.394333333	-0.162166667	0.339333333	0.081666667	-0.424166667
CPM	1.018333333	-0.392666667	-2.0925	-0.757666667	-0.294333333	-1.139166667	1.414333333	0.643166667	-0.871333333	1.240166667	-0.194166667
LASS6	1.588875	0.74825	0.013125	0.66525	0.96225	-0.29075	0.11575	0.646125	0.559625	1.254625	0.447
CPO	0.018	-0.182	1.561	0.112	0.053	0.3315	-0.3395	-0.21	0.386	-1.12	-0.013
KIAA0256	1.133625	-0.2085	-0.397	-0.15575	0.149125	1.662375	0.422125	0.705375	0.7215	1.040625	0.366
KIAA0701	-0.295625	-0.360125	0.060875	-0.616875	-0.1145	0.24075	-0.29	0.027125	-0.082625	-0.293	-0.53525
CPE	0.5065	-0.6642	-0.721	0.1046	-1.2924	-0.2547	0.8123	0.0419	-0.5319	-0.3626	-0.847
BMP2	1.511875	0.900375	-1.695875	1.5505	-1.418125	2.6255	-1.233625	-0.27725	3.004	-0.65225	-0.932375
SAA2	2.19525	3.20225	0.094	-0.60325	1.64375	3.1205	2.041	4.7445	2.697	1.2785	1.42975
CPZ	-0.6465	-0.76775	-1.886	-2.20125	-2.5475	-1.23	-2.13575	-1.64475	-0.9805	-0.97325	-1.96875
CLIC2	0.79175	-0.44625	1.35975	0.89775	-0.816	4.1645	0.19175	0.65425	0.61975	0.667	-0.35
PRSS33	-1.90975	-0.7195	-0.3465	-0.94875	-0.06625	-1.942	-1.39925	-1.87275	-0.95775	-1.9515	-0.92825
RPL7L1	-0.773125	-0.445625	-1.434	-1.63425	-0.128875	-0.934	-0.651625	-0.517875	-0.6745	-1.10075	-0.4885
CYP46A1	0.184	0.3945	-0.624333333	0.187333333	0.042666667	0.134333333	0.213333333	0.03	0.271833333	0.139333333	0.324333333
N6AMT1	0.14725	0.0435	-0.899	0.74875	-0.1435	0.555	1.47625	-0.40825	0.77375	-0.6595	0.97525
N6AMT2	0.10525	-0.17725	-0.97775	0.942	-0.832	0.73875	1.6085	0.3425	1.13875	-1.7355	1.75575
FLJ31818	0.426625	0.084857143	0.550714286	0.551875	1.59925	0.34375	1.137	-0.222125	0.51925	0.87775	0.76075
DMPK	-0.65575	-0.76375	-1.01775	-0.6615	-0.8355	-0.155	-0.56775	-0.342	-1.18725	-1.0205	-0.74675
FAM81A	-1.945	-1.2125	-1.289	0.16525	-1.46675	1.06675	-0.89175	-0.01675	-0.94375	-2.1225	-1.78725
BANK1	5.358	2.15125	0.37775	1.93775	3.15075	4.83875	6.36475	5.373	4.1005	4.45825	3.122
CEECAM1	-0.401166667	-0.102833333	-0.426666667	-0.4715	-0.742	-0.728166667	-0.702666667	-0.048166667	0.8075	0.041666667	-0.334
LSP1	0.627	0.4725	0.547375	0.452625	-0.217875	1.32975	-0.299625	1.208125	0.639125	0.460375	-0.37025
PRSS36	0.2715	-0.442	-0.29	-0.2965	0.536	-1.3155	-1.088	-0.354	0.6415	-2.37	-1.653
DOC2A	-1.1805	0.515375	-0.6025	0.24175	-0.629	-0.710125	-0.151125	-0.903375	-0.880125	-0.590875	-0.546125
GPR153	1.21075	1.82425	-0.92875	2.41325	-0.39325	1.637	0.951	1.23725	1.269	1.1385	1.42475
NR5A1	-0.223166667	0.672166667	0.530333333	0.538166667	0.036	-0.1085	-0.1715	-0.069333333	0.4245	-0.0435	0.1815
GPR152	-0.1075	0.4135	0.232	0.3855	0.77	0.4195	0.1245	0.425	-0.178	-0.077	-0.2045
ADAM30	0.25275	0.12825	-1.702333333	0.0845	-0.026	0.765666667	0.00025	0.03625	0.3335	0.07025	0.4805
RNASEH1	-0.845166667	0.079	-0.139666667	-0.290166667	0.868333333	-0.555833333	-0.920666667	-0.776166667	-1.114666667	-0.463	-0.742666667
DMP1	-1.14	-0.3445	0.199	0.028	-0.7425	-0.173	0.2005	-0.931	-0.5375	-0.3215	-0.1075
GPR151	1.0785	1.421	-0.557	2.1035	0.2	1.806	1.4375	0.4575	1.6555	1.584	2.4435
DLX4	0.8095	-1.13775	-1.2075	1.1635	-0.05525	1.2945	0.5255	-1.761	-1.604	1.06825	0.57525
F3	3.4015	2.0555	1.87075	-0.634	4.2725	-0.118	2.91375	3.86675	4.60175	1.60875	0.009
ABLIM1	1.058833333	1.9755	0.812	0.573666667	1.763	-1.358333333	-0.358333333	1.592333333	0.293833333	2.029833333	0.3675
ABLIM3	-1.3769	-1.9963	-1.055	-1.5833	-2.0631	-2.2995	-2.1632	0.1726	-1.5082	-1.8143	-2.4157
ABLIM2	1.1775	1.303	-0.80025	1.3265	-0.093	3.7615	0.29275	1.1965	0.70725	0.302	0.233
C13orf24	0.402	0.142	0.025166667	0.647	-0.210333333	0.3075	1.555166667	0.506166667	-0.034666667	-0.2855	0.776833333
GPR156	2.728	2.757	0.199	3.619	0.297	1.8945	2.294	1.382	1.7965	1.416	2.0905
LMTK3	-0.278	0.4415	-0.138	0.054	0.803	-1.101	0.718	2.012	0.438	0.231	-0.102
LMTK2	0.5915	-0.1165	0.935	-0.104	0.667	0.0515	-0.6265	0.7945	-0.185	0.812	0.0585
F7	-1.352	-0.948	-1.13625	-0.9115	-0.951625	-1.476	-1.380625	-0.83875	-1.071875	-1.3115	-1.095875
C13orf28	0.34975	-0.015	-0.562	0.13325	0.16175	1.04725	0.89625	0.19575	0.51925	0.15475	0.60025
DDX18	0.0045	0.455	0.433166667	0.380166667	0.555	0.218	0.480833333	0.204	0.617666667	0.017166667	0.716833333
C13orf29	-1.226	0.23	0.25975	1.4255	-0.35125	0.1905	0.60925	0.59475	0.03075	-1.50175	1.31425
RCP9	0.738333333	-0.88475	-1.080181818	-1.03675	-0.285416667	0.325916667	0.377083333	0.0175	0.405666667	0.704833333	1.000666667
CLEC14A	5.6505	4.367166667	3.479166667	3.9635	4.7285	5.0195	5.514666667	5.035333333	4.484333333	5.010166667	4.281833333
HHIP	-1.056	-1.6695	-0.69675	-1.68525	-1.005	-3.5655	1.913	-1.01925	-2.699	-3.25825	-2.307
MGC70863	-0.411090909	0.301772727	1.3705	0.721590909	0.3345	0.982545455	0.512136364	-0.454863636	-0.099590909	-0.017590909	0.265318182
ATP12A	5.05	1.239	0.933	-0.561	0.947	-0.581	2.812	2.7225	0.85	4.6025	0.0115
HMGN4	0.101333333	0.321333333	1.164166667	0.9205	-0.155333333	1.0325	0.701666667	-0.299333333	-0.003833333	0.754666667	1.225333333
SLC12A6	1.909333333	1.257833333	0.834833333	0.137	0.607666667	0.321833333	0.153166667	2.2375	2.060666667	2.0695	1.127166667
HMGN2	0.6644	-0.1067	0.0826	0.905	0.5938	0.4804	-0.7123	0.582	-0.6102	-0.4692	-0.3091
HMGN1	0.265375	-1.11675	0.111625	-0.763	0.246375	0.026	0.15925	-0.6785	-1.035125	-0.965875	-1.0165
TRH	-0.951	0.12525	-0.063	0.85525	-0.55875	-0.86325	1.02875	-0.7605	-0.4775	-1.137	-0.474
GSTZ1	-0.20975	0.23425	0.303	0.255	0.9365	-1.09525	-0.1215	-1.32525	-0.5975	-0.67675	0.372
CSN1S1	-1.3875	-0.28375	-0.49475	-0.168	-0.34775	-0.74575	-1.079	-1.59425	-0.642	-2.1905	-0.809
MX2	0.279166667	-1.190333333	-0.0975	-0.053	-1.4685	0.563	0.788333333	0.990666667	0.543333333	-1.536333333	0.016833333
RAB6A	0.4927	0.3655	0.6838	1.3588	1.9481	0.8487	0.0575	1.0284	1.3226	0.4841	1.4356
CEACAM3	0.720333333	1.13	-0.243909091	-0.478833333	1.371166667	0.426083333	3.500416667	2.157916667	0.343416667	0.329083333	-0.542666667
MX1	4.35525	3.234	3.8775	4.478125	2.0985	3.06625	2.814375	4.967	3.652875	1.3905	2.271625
RC3H1	0.53025	0.7645	-0.335	-0.01175	0.158	0.79675	0.36725	1.028	0.95025	2.13175	0.14625
CCDC106	-1.04925	-0.11525	-0.23375	-0.43975	0.2205	-0.486	-0.4485	-0.20375	-0.711	-0.85225	-0.3165
RC3H2	0.633	0.5881	-0.9558	0.6408	0.1143	0.1662	-0.5271	-0.1588	0.053	0.4564	0.6246
DEFB126	1.1615	0.39575	-1.0445	0.214	-0.19475	0.44825	-0.25125	1.057	3.7025	2.29925	1.13525
CHL1	2.307875	0.88925	0.998714286	4.41775	1.7695	0.746375	3.50475	1.797	2.6305	1.35525	2.136
CRIPT	0.172	1.0685	1.106	1.5715	2.6615	1.7215	0.3035	0.782	0.7555	0.716	2.6485
IFIT5	1.436	1.536	-0.162333333	2.034666667	1.118666667	0.847	1.895666667	2.735666667	2.2395	0.962666667	0.8265
TAF1L	-0.4575	-0.1865	0.592	-0.4665	-0.9535	-1.5545	-1.359	-0.5615	-1.004	0.1005	-1.171
IFIT3	2.3685	1.364	0.8798	2.871166667	0.452833333	1.717166667	0.9005	4.450166667	3.654833333	1.4685	0.411833333
IFIT2	2.1875	1.09	0.410714286	1.467	0.29675	1.92125	0.64425	4.38275	2.85925	1.821125	0.213125
IFIT1	1.098	0.99225	0.8535	3.13475	0.0825	0.01825	-0.3215	3.44625	3.16225	-0.4295	-0.189
LOC541472	-0.346125	1.221125	0.635428571	0.664	-0.07975	0.7325	0.40625	0.420125	0.497625	0.7085	0.669875
LOC541473	0.11725	0.57775	1.411	-0.744	0.34275	2.44525	0.6495	0.17875	-0.0955	-0.4815	1.1785
CTA-246H3.1	0.13475	2.05125	0.61	2.1205	-2.02775	0.53425	-2.193	2.0495	0.81275	0.57075	-1.0075
DULLARD	-0.981833333	-0.645	-0.607666667	-1.4035	-0.940833333	-1.146666667	-0.6225	-0.6145	-0.790833333	-0.096833333	-1.155166667
PCYT1A	2.511333333	2.289666667	0.734833333	0.5035	1.124	1.156833333	0.494833333	1.331166667	1.7795	2.5405	2.818166667
EFTUD2	-0.29175	-0.10525	-0.10725	-0.47875	-0.48	-0.3395	-1.06625	-0.5285	-1.32325	0.45075	-0.5385
HTR3E	0.747	0.5015	0.0705	1.1855	1.161	0.8985	0.4955	0.4675	0.366	0.5315	0.8055
ISG15	1.8963125	0.825375	1.3979375	3.41525	-0.5415	1.051375	-0.7586875	2.76925	2.6	0.2628125	-0.397
MAP1LC3A	1.207	0.201	0.596	0.31	0.7815	1.987	0.1815	0.0715	0.7385	0.5595	1.143
MAP1LC3C	0.56375	0.0855	-0.4755	0.3655	0.06975	-0.3	1.43725	0.017	-0.0345	-0.20975	-0.1845
MAP1LC3B	-0.3895	-0.0725	-0.5225	0.02275	-1.1065	-0.81875	0.7355	-0.829	0.21175	-0.5155	0.2445
DAOA	0.18475	0.66375	-0.413	-0.165666667	0.09175	0.745	0.505	0.06275	-0.18325	0.277333333	0.14925
FBXW8	-0.192625	-0.34825	-0.37425	-0.849625	-0.1075	-0.020875	-0.246875	-0.0885	-0.15275	-0.573	-0.176625
PHF15	0.147071429	-1.4085	-0.518142857	-1.6595	-1.393071429	0.398571429	1.416357143	0.195	-0.554357143	1.282428571	0.789285714
ZFP28	0.147285714	-0.186	0.6745	-0.011875	0.08875	-0.047428571	0.4835	0.449625	0.633625	-0.09975	-0.142125
GPS1	-0.1075	-0.3215	0.37325	-0.24675	-0.141	0.056	-0.35775	-0.822	-0.97675	0.4515	-0.37925
PTGES	-0.244125	0.638	-0.379875	-0.55525	-0.896625	2.129875	0.1785	2.149375	1.297875	-1.4145	1.3765
BRCC3	0.167166667	-0.211166667	-1.1726	-0.756333333	0.218	-0.131166667	0.269833333	-0.263333333	-0.6235	-0.109666667	0.120166667
NSL1	-0.86325	-0.3815	-0.79425	0.60625	1.352	0.42375	0.67625	-0.72725	-0.24125	-0.00375	0.68225
GDI2	-0.028625	0.058125	0.39025	0.359875	0.426125	0.545375	0.47125	0.8075	0.379	0.061875	0.63025
GSDML	-1.284	-0.9575	-0.497	-0.2545	-0.456	-1.08975	-1.26175	0.17375	-1.3075	-1.263	-0.44875
