SYMBOL	S0444817	S0446692	S0446738	S0447112	S0447456	S0447671	S0448523	S0449073	S0449358	S0450019	S0450240	S0450317	S0451357	S0451702	S0451862	S0452241	S0452832	S0452883	S0452999	S0453193	S0453583	S0453681	S0453869	S0453908
KRTCAP3	0.323729033	-0.035103148	0.768368909	-0.729365411	-1.056994794	-0.37833393	0.058505247	0.698162613	-0.643557716	1.017991296	-0.167715041	-0.245722037	-0.409536728	-1.579641666	-0.011701049	0.269124136	-0.136512243	0.066305946	3.670229156	0.924382901	-0.651358416	0.315928333	0.011701049	1.14280249
METRN	-0.241111278	-0.283975506	-0.080370426	0.176814937	-0.091086483	0.091086483	0.080370426	0.851926517	-0.273259449	1.473457812	-0.63760538	0.187530994	-0.144666767	-1.612766551	0.60545721	-0.10180254	-0.819778346	-0.230395222	3.638101289	1.001951312	-0.948371028	0.444716358	0.358987903	1.012667369
MSLN	-0.793995782	-0.294776877	-0.584799289	-0.019017863	-1.098281591	0.912857426	0.698906467	0.43741085	0.423147453	1.892277373	0.019017863	-1.231406632	-0.251986685	-0.889085098	0.637098412	0.646607344	-0.660870741	0.057053589	2.809889265	-0.185424165	-0.580044823	0.261495617	-1.440603126	1.259933427
MYB	1.447936592	-0.106845194	1.278458009	0.33527285	-0.364747386	-0.239480607	0.106845194	-1.050030353	0.261586509	1.639521077	-1.455305226	1.676364248	0.453170994	-0.232111973	1.079504889	-0.467908262	0.887920404	-0.88055177	-2.324804044	0.541594603	-0.276323777	-0.637386846	-0.151056998	1.005818549
NOXO1	2.160409436	-0.028720362	1.081800294	-0.347835493	0.028720362	0.909478123	0.424423124	-0.628656808	0.430805427	1.937028844	-1.02435957	-0.188277927	-0.162748717	-0.507393058	0.3669824	-0.31592398	-0.130837204	-1.139241017	1.956175752	-1.139241017	1.720030555	0.130837204	-1.139241017	0.673332926
PKP2	0.956623211	0.648035078	1.558370069	2.3298404	0.030858813	-0.200582286	-0.030858813	-0.231441099	-0.740611518	-0.617176265	0.030858813	0.509170419	0.894905584	-1.110917277	0.648035078	-0.648035078	1.28064075	-0.09257644	1.265211343	-0.030858813	-2.160116927	-0.154294066	-1.404076003	0.370305759
SERPINB5	-0.639125975	0.1378507	0.263169519	0.488743392	-0.69760809	-0.647480563	-0.004177294	0.02088647	-0.530516332	0.438615865	1.850541221	-0.998373255	-0.33836081	-2.844737182	0.847990672	-0.196332816	0.296587871	-0.313297046	1.006727843	0.747735618	-0.69760809	0.004177294	-0.981664079	2.076115094
SGPP2	1.008585048	0.68539205	0.540512429	-0.518223257	-0.696536636	0.317620706	0.529367843	-2.78057425	-0.351054464	0.005572293	1.365211806	-0.562801602	-0.45135574	-1.2091876	-0.128162741	-0.005572293	1.086597152	1.521236012	-0.094728982	-0.997440462	0.462500326	1.78870608	-0.45135574	0.607379946
SPP1	0.347456019	-0.389390366	1.958933072	-0.623024586	-0.347456019	-0.652977691	-1.246049171	0.389390366	1.264021034	0.934536878	1.425767802	0.730855764	-1.287983518	-1.359870971	0.017971863	1.252039792	-0.017971863	0.029953105	0.527174649	0.712883901	-1.018405573	-2.030820524	-0.281559188	-0.329484156
TFAP2A	1.803825407	-0.561521408	0.342875904	0.770228479	-0.720536319	-0.760290047	-0.044722944	0.978935551	-1.177704191	-0.770228479	-0.203737856	0.243491584	0.014907648	-1.356595967	1.068381439	2.300747006	-0.014907648	0.57145984	-2.082101502	0.17392256	-0.22361472	-0.631090432	0.213676288	1.078319871
TNFRSF10A	1.126083748	-0.830344582	0.500481666	0.011374583	-0.318488333	-0.216117083	-0.284364583	-0.398110416	-1.046461665	0.398110416	1.478695831	0.420859583	-0.011374583	1.148832915	0.636976666	0.113745833	-0.295739166	0.318488333	2.491033746	-0.682474999	-0.181993333	-2.752649162	-0.216117083	0.864468332
ZIC2	-0.199510045	0.962852826	1.570057311	0.355648341	-0.187944245	0.372997041	-0.656359134	-1.651017909	-1.361872916	1.003333125	-1.651017909	-0.569615636	-1.275129418	-1.651017909	0.037588849	-0.037588849	1.327175517	0.159029746	-1.651017909	0.124332347	0.251556144	0.928155427	0.81828033	-0.465523438
ADAMDEC1	0.866778908	0.124907004	1.154443523	-0.995470973	-1.146873402	-0.639675264	0.041635668	-0.041635668	0.442852106	-0.806217936	0.223318583	-0.473132592	-1.767623362	0.987900851	0.457992349	-1.184724009	0.435281984	1.056031944	-2.562486116	-1.08631243	1.472388625	0.299019798	-0.647245385	-0.66995575
APOC1	1.055283842	-0.065310726	1.976508825	-1.887136252	-1.165280855	0.065310726	-0.904037949	0.202806992	-0.264680312	0.477799525	1.137781602	-0.656544671	-0.752792057	0.127184046	-0.663419484	0.381552138	-0.347178072	1.000285336	2.107130278	0.608420977	1.151531228	-0.876538696	-0.972786082	-0.333428445
CD2	0.251775088	-0.310327434	0.07611805	-1.352559193	-0.427432126	0.591378695	-0.029276173	-0.919271833	-0.322037903	0.029276173	0.298616965	-1.212033563	-0.50940541	2.42992236	-0.333748372	-1.657031392	-0.193222742	1.493084824	1.785846554	0.720193856	1.715583738	0.087828519	-0.310327434	0.36887978
CD247	0.693968634	0.020056897	0.509445183	-0.581650012	0.052147932	0.677923117	0.91860588	-0.156443796	-0.421194836	-0.661877599	0.718036911	0.060170691	-0.116330002	2.418861772	0.509445183	-0.276785178	-0.020056897	1.255561749	-2.154110732	-0.693968634	1.327766578	-0.180512073	-0.437240353	-2.154110732
CD3D	0.705716389	-0.062269093	0.435883652	-1.338785503	-0.446261834	0.674581842	0.633069114	-0.767985482	-0.42550547	0.051890911	0.508530927	-0.373614559	-0.726472753	2.999294653	0.103781822	-1.452945507	-0.612312749	1.743534608	0.892523668	0.020756364	1.432189142	-0.114160004	-0.861389122	-0.020756364
CD40	-0.713444237	-0.57355321	0.279782054	-1.440877576	0.615520518	-0.069945513	0.279782054	0.349727567	0.293771156	-0.461640388	0.881313469	-0.671476929	-0.377705772	2.797820536	0.069945513	-1.077160906	-0.139891027	1.510823089	1.874539759	-0.839346161	1.440877576	-0.671476929	0.489618594	-0.181858335
CX3CL1	-1.231867799	-0.298342982	0.413830589	-0.895028947	0.75066944	0.635181834	-0.019247934	-0.413830589	-0.240599179	-0.009623967	-0.856533079	0.096239672	0.009623967	-0.644805801	-0.028871902	-0.327214884	0.048119836	-1.597578551	2.059528976	1.405099208	2.76207858	0.702549604	1.010516554	0.88540498
CXCR6	1.011657521	0.428466715	0	-0.52368154	0.535583394	0.333251889	0.166625945	-0.083312972	-0.380859302	-1.392516823	0.428466715	0	0.178527798	1.404418677	-0.130920385	-0.59509266	-0.273742623	0.952148255	-3.380126307	-0.5593871	1.499633502	0.535583394	0	-1.106872347
CYBB	1.009835104	-0.888896768	1.566151448	-1.554057615	0.078609918	0.538175594	-0.066516085	0.042328418	0.32048659	-0.840521434	1.396837778	-0.368861924	-0.042328418	2.061998625	0.562363261	-0.8284276	-0.32048659	1.263805609	-0.380955758	-0.65911393	2.207124628	-0.683301597	0.15117292	-0.888896768
GBP4	2.681847697	-0.35590876	1.318366251	-0.776983912	0.125319986	0.436113551	0.055140794	-0.486241545	-0.35590876	-1.188033466	0.837137505	-0.145371184	0.045115195	0.927367895	0.025063997	-1.087777477	-0.025063997	0.26567837	-0.917342296	-0.817086308	2.310900539	0.215550376	-0.877239901	-0.957444692
GZMA	1.208382314	0.012719814	0.45367336	-0.657190381	0.156877704	-0.089038697	0.360394725	-0.903106782	-0.105998449	-1.3186207	0.30951547	-0.012719814	0.233196587	0.970945789	-0.190797207	-1.081184175	-0.26711609	0.233196587	-3.743865204	-0.038159441	1.106623803	0.250156339	-1.038784796	0.16535758
HLA-DOA	-0.275433941	-0.091811314	0.556268548	-1.441977693	0.167420631	0.36184459	0.307837934	0.059407321	-0.340241927	-2.079256224	1.20434841	-0.059407321	-0.329440596	2.230474858	0.286235272	-0.923513803	0.415851245	1.841626941	-2.079256224	-0.113413976	0.437453907	0.480659231	-0.091811314	-0.178221962
HLA-DPA1	0.080108459	-0.3251461	0.06125941	-1.531485255	0.34399515	0.636155413	-0.306297051	-0.004712262	0.004712262	-2.059258635	0.739825185	0.080108459	0.296872526	1.079108072	0.155504657	-0.834070431	-0.240325378	0.890617579	-1.804796469	-1.917890765	1.050834498	-0.108382033	-1.022560924	-2.294871751
IGSF6	0.62864659	0.449033278	0.295079011	-1.432629983	-0.303632026	0.825365931	-0.269419967	-0.055594596	-0.141124745	-1.372758879	0.722729753	0.055594596	-0.320738056	0.851024975	-0.543116441	-0.851024975	0.329291071	0.825365931	-2.963619637	-0.389162175	1.680667413	1.158933509	0.372056145	-1.099062405
IL27RA	-0.07491707	-0.127799707	0.268820074	-0.198309891	0.418654214	0.480350624	0.163054799	-0.083730843	-0.559674581	-0.533233262	0.515605716	0.07491707	0.180682345	2.102084842	0.612557218	-0.28644762	-0.330516485	1.344100371	-3.309571733	-0.824087768	0.912225498	0.127799707	-0.13661348	-1.502748283
LAMP3	0.948989096	-0.774938694	-0.070448972	-0.741786237	-0.045584629	0.319092404	0.36882109	-0.484854691	0.169906345	-0.783226809	1.321954244	-0.725210008	0.186482574	2.217070596	0.120177659	-0.285939946	0.23621126	1.545733332	-1.76951242	-0.493142806	1.761224306	0.045584629	-0.683769436	-1.76951242
PTPRCAP	-0.239880536	-0.015992036	0.538398536	-1.775115967	-0.367816822	0.015992036	0.97551418	-0.346494108	-0.602366679	0.207896465	0.154589679	-0.378478179	-0.602366679	2.382813324	0.538398536	-0.538398536	-0.250541893	1.817761395	2.468104182	0.954191466	1.19940268	-0.133266964	-0.18657375	1.114111823
RAC2	-0.4657666	-0.490943173	0.201412584	-1.863066401	-0.062941432	-0.075529719	0.75529719	-1.372123228	-0.616826038	0.062941432	0.138471151	-0.805650336	-1.107769211	2.429539293	0.314707162	-0.541296319	-0.188824297	1.913419547	1.611300671	0.780473763	1.00706292	0.138471151	-0.25176573	0.377648595
RARRES3	1.263459125	0.186647371	2.67049315	-1.421391515	-0.344579761	-0.172289881	0.789661953	-1.162956694	-0.588657092	-0.459439682	0.875806893	-0.258434821	-0.430724702	-0.07178745	-0.186647371	-0.10050243	1.019381794	0.172289881	1.866473707	1.162956694	1.966976137	0.07178745	-0.358937251	0.918879363
TGM2	-0.902012747	-1.196547522	0.092042117	-0.920421171	-0.220901081	0.625886396	-0.092042117	0.276126351	0.11045054	-0.938829594	1.804025494	0	0.018408423	-0.8651959	0	0.736336937	-0.736336937	0.018408423	0.736336937	-0.441802162	3.18465725	-0.589069549	1.343814909	-0.662703243
